"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-11","41","47","35"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-12","51","54","45"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-13","38","55","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-14","11","18","5"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-15","9","16","1"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-16","18","27","13"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-17","25","27","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-18","24","32","19"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-19","23","28","19"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-20","35","42","27"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-21","35","42","29"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-22","20","28","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-23","40","50","21"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-24","29","39","16"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-25","14","22","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-26","16","28","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-27","36","44","17"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-28","41","47","31"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-29","23","30","19"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-30","14","18","11"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-01-31","16","27","6"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-01","32","38","27"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-02","21","38","1"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-03","9","21","-3"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-04","35","41","22"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-05","34","43","14"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-06","20","29","11"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-07","26","42","15"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-08","19","29","10"
"USR0000MMCF","MCFARLAND HILL MAINE, ME US","2018-02-09","20","29","9"
